Nirvana, New Rules
Stevie Wonder, Can't Hold Us
Linda Ronstadt, Chandelier
Barry Manilow, Cardigan
The Doors, Mi Gente
Donna Summer, Cold Water
Tina Turner, Shape of You
The Carpenters, Despacito (Remix)
Christina Aguilera, Bad Guy
Bryan Adams, Counting Stars
Red Hot Chili Peppers, Stressed Out
Aretha Franklin, I Like It
Kiss, I Don't Wanna Live Forever
Chicago, Heathens
Journey, This Is America
Flo Rida, See You Again
Tupac Shakur, Don't Let Me Down
The Carpenters, Despacito
Def Leppard, Sorry
Tina Turner, Senorita
